timestamp,distance_cm,altitude_angle_deg,azimuth_angle_deg,scan_repeat
1760412809.154382,12.0,125,1,0
1760412809.1959422,12.0,124,1,0
1760412809.2374089,12.0,123,1,0
1760412809.278712,12.0,122,1,0
1760412809.3204756,12.2,121,1,0
1760412809.362395,12.0,120,1,0
1760412809.4037097,12.0,119,1,0
1760412809.4463003,12.0,118,1,0
1760412809.4888887,12.0,117,1,0
1760412809.5312247,12.0,116,1,0
1760412809.573142,12.0,115,1,0
1760412809.614939,12.0,114,1,0
1760412809.6575701,12.0,113,1,0
1760412809.6993616,12.0,112,1,0
1760412809.7413633,12.0,111,1,0
1760412809.7840655,12.0,110,1,0
1760412809.826613,13.0,109,1,0
1760412809.8691921,13.0,108,1,0
1760412809.9106073,13.0,107,1,0
1760412809.9527998,13.0,106,1,0
1760412809.9947705,13.0,105,1,0
1760412810.0367987,13.6,104,1,0
1760412810.078831,14.0,103,1,0
1760412810.1205704,14.0,102,1,0
1760412810.1624756,14.8,101,1,0
1760412810.2042813,15.0,100,1,0
1760412810.2472138,15.0,99,1,0
1760412810.2889385,15.0,98,1,0
1760412810.3305259,15.4,97,1,0
1760412810.372023,16.0,96,1,0
1760412810.4131842,16.6,95,1,0
1760412810.4551635,16.8,94,1,0
1760412810.4961638,16.4,93,1,0
1760412810.5377324,16.0,92,1,0
1760412810.5792756,15.0,91,1,0
1760412810.6225767,13.0,90,2,0
1760412810.6653488,12.0,91,2,0
1760412810.7072294,11.4,92,2,0
1760412810.7486875,11.0,93,2,0
1760412810.790078,10.6,94,2,0
1760412810.8316886,10.8,95,2,0
1760412810.8731904,10.0,96,2,0
1760412810.9154246,10.0,97,2,0
1760412810.9575744,10.8,98,2,0
1760412810.9994333,11.0,99,2,0
1760412811.0415897,11.0,100,2,0
1760412811.083995,11.2,101,2,0
1760412811.126298,12.4,102,2,0
1760412811.1681511,14.2,103,2,0
1760412811.210454,15.2,104,2,0
1760412811.2525742,16.0,105,2,0
1760412811.2951093,16.0,106,2,0
1760412811.3369298,16.0,107,2,0
1760412811.379225,16.0,108,2,0
1760412811.42139,15.0,109,2,0
1760412811.4632697,15.0,110,2,0
1760412811.5050168,15.0,111,2,0
1760412811.5468934,15.0,112,2,0
1760412811.5890064,15.0,113,2,0
1760412811.6309652,14.0,114,2,0
1760412811.6728668,14.0,115,2,0
1760412811.7148004,14.0,116,2,0
1760412811.7572148,13.2,117,2,0
1760412811.7991843,13.0,118,2,0
1760412811.8408563,13.0,119,2,0
1760412811.8827128,13.0,120,2,0
1760412811.9240248,13.0,121,2,0
1760412811.9650328,13.0,122,2,0
1760412812.0060227,12.75,123,2,0
1760412812.0476458,12.0,124,2,0
1760412812.089567,12.0,125,2,0
1760412812.1311514,12.0,126,2,0
1760412812.1737697,12.0,127,2,0
1760412812.2159433,12.0,128,2,0
1760412812.2587314,12.0,129,2,0
1760412812.301509,12.0,130,2,0
1760412812.343991,12.0,131,2,0
1760412812.3862386,12.0,132,2,0
1760412812.4291923,12.0,133,2,0
